,Survived,Pclass,Sex,Age,Fare
127,1,3,1,24.0,7.1417
129,0,3,1,45.0,6.975
130,0,3,1,33.0,7.8958
131,0,3,1,20.0,7.05
132,0,3,0,47.0,14.5
133,1,2,0,29.0,26.0
134,0,2,1,25.0,13.0
135,0,2,1,23.0,15.0458
136,1,1,0,19.0,26.2833
137,0,1,1,37.0,53.1
139,0,1,1,24.0,79.2
141,1,3,0,22.0,7.75
142,1,3,0,24.0,15.85
143,0,3,1,19.0,6.75
144,0,2,1,18.0,11.5
145,0,2,1,19.0,36.75
146,1,3,1,27.0,7.7958
148,0,2,1,36.5,26.0
149,0,2,1,42.0,13.0
150,0,2,1,51.0,12.525
151,1,1,0,22.0,66.6
152,0,3,1,55.5,8.05
153,0,3,1,40.5,14.5
155,0,1,1,51.0,61.3792
157,0,3,1,30.0,8.05
160,0,3,1,44.0,16.1
161,1,2,0,40.0,15.75
162,0,3,1,26.0,7.775
167,0,3,0,45.0,27.9
169,0,3,1,28.0,56.4958
170,0,1,1,61.0,33.5
173,0,3,1,21.0,7.925
174,0,1,1,56.0,30.6958
175,0,3,1,18.0,7.8542
177,0,1,0,50.0,28.7125
178,0,2,1,30.0,13.0
179,0,3,1,36.0,0.0
187,1,1,1,45.0,26.55
188,0,3,1,40.0,15.5
189,0,3,1,36.0,7.8958
190,1,2,0,32.0,13.0
191,0,2,1,19.0,13.0
192,1,3,0,19.0,7.8542
194,1,1,0,44.0,27.7208
195,1,1,0,58.0,146.5208
197,0,3,1,42.0,8.4042
199,0,2,0,24.0,13.0
200,0,3,1,28.0,9.5
202,0,3,1,34.0,6.4958
203,0,3,1,45.5,7.225
204,1,3,1,18.0,8.05
206,0,3,1,32.0,15.85
207,1,3,1,26.0,18.7875
209,1,1,1,40.0,31.0
210,0,3,1,24.0,7.05
211,1,2,0,35.0,21.0
212,0,3,1,22.0,7.25
213,0,2,1,30.0,13.0
215,1,1,0,31.0,113.275
216,1,3,0,27.0,7.925
217,0,2,1,42.0,27.0
218,1,1,0,32.0,76.2917
219,0,2,1,30.0,10.5
221,0,2,1,27.0,13.0
222,0,3,1,51.0,8.05
224,1,1,1,38.0,90.0
225,0,3,1,22.0,9.35
226,1,2,1,19.0,10.5
227,0,3,1,20.5,7.25
228,0,2,1,18.0,13.0
230,1,1,0,35.0,83.475
231,0,3,1,29.0,7.775
232,0,2,1,59.0,13.5
234,0,2,1,24.0,10.5
236,0,2,1,44.0,26.0
238,0,2,1,19.0,10.5
239,0,2,1,33.0,12.275
242,0,2,1,29.0,10.5
243,0,3,1,22.0,7.125
244,0,3,1,30.0,7.225
245,0,1,1,44.0,90.0
246,0,3,0,25.0,7.775
247,1,2,0,24.0,14.5
248,1,1,1,37.0,52.5542
249,0,2,1,54.0,26.0
251,0,3,0,29.0,10.4625
252,0,1,1,62.0,26.55
253,0,3,1,30.0,16.1
254,0,3,0,41.0,20.2125
255,1,3,0,29.0,15.2458
257,1,1,0,30.0,86.5
258,1,1,0,35.0,512.3292
259,1,2,0,50.0,26.0
262,0,1,1,52.0,79.65
263,0,1,1,40.0,0.0
265,0,2,1,36.0,10.5
267,1,3,1,25.0,7.775
268,1,1,0,58.0,153.4625
269,1,1,0,35.0,135.6333
271,1,3,1,25.0,0.0
272,1,2,0,41.0,19.5
273,0,1,1,37.0,29.7
275,1,1,0,63.0,77.9583
276,0,3,0,45.0,7.75
279,1,3,0,35.0,20.25
280,0,3,1,65.0,7.75
281,0,3,1,28.0,7.8542
283,1,3,1,19.0,8.05
285,0,3,1,33.0,8.6625
286,1,3,1,30.0,9.5
287,0,3,1,22.0,7.8958
288,1,2,1,42.0,13.0
289,1,3,0,22.0,7.75
290,1,1,0,26.0,78.85
291,1,1,0,19.0,91.0792
292,0,2,1,36.0,12.875
293,0,3,0,24.0,8.85
294,0,3,1,24.0,7.8958
296,0,3,1,23.5,7.2292
299,1,1,0,50.0,247.5208
302,0,3,1,19.0,0.0
308,0,2,1,30.0,24.0
309,1,1,0,30.0,56.9292
310,1,1,0,24.0,83.1583
311,1,1,0,18.0,262.375
312,0,2,0,26.0,26.0
313,0,3,1,28.0,7.8958
314,0,2,1,43.0,26.25
315,1,3,0,26.0,7.8542
316,1,2,0,24.0,26.0
317,0,2,1,54.0,14.0
318,1,1,0,31.0,164.8667
319,1,1,0,40.0,134.5
320,0,3,1,22.0,7.25
321,0,3,1,27.0,7.8958
322,1,2,0,30.0,12.35
323,1,2,0,22.0,29.0
325,1,1,0,36.0,135.6333
326,0,3,1,61.0,6.2375
327,1,2,0,36.0,13.0
328,1,3,0,31.0,20.525
331,0,1,1,45.5,28.5
332,0,1,1,38.0,153.4625
336,0,1,1,29.0,66.6
337,1,1,0,41.0,134.5
338,1,3,1,45.0,8.05
339,0,1,1,45.0,35.5
341,1,1,0,24.0,263.0
342,0,2,1,28.0,13.0
343,0,2,1,25.0,13.0
344,0,2,1,36.0,13.0
345,1,2,0,24.0,13.0
346,1,2,0,40.0,13.0
349,0,3,1,42.0,8.6625
350,0,3,1,23.0,9.225
353,0,3,1,25.0,17.8
355,0,3,1,28.0,9.5
356,1,1,0,22.0,55.0
357,0,2,0,38.0,13.0
360,0,3,1,40.0,27.9
361,0,2,1,29.0,27.7208
362,0,3,0,45.0,14.4542
363,0,3,1,35.0,7.05
365,0,3,1,30.0,7.25
366,1,1,0,60.0,75.25
369,1,1,0,24.0,69.3
370,1,1,1,25.0,55.4417
371,0,3,1,18.0,6.4958
372,0,3,1,19.0,8.05
373,0,1,1,22.0,135.6333
376,1,3,0,22.0,7.25
377,0,1,1,27.0,211.5
378,0,3,1,20.0,4.0125
379,0,3,1,19.0,7.775
380,1,1,0,42.0,227.525
382,0,3,1,32.0,7.925
383,1,1,0,35.0,52.0
385,0,2,1,18.0,73.5
387,1,2,0,36.0,13.0
390,1,1,1,36.0,120.0
391,1,3,1,21.0,7.7958
392,0,3,1,28.0,7.925
393,1,1,0,23.0,113.275
394,1,3,0,24.0,16.7
395,0,3,1,22.0,7.7958
396,0,3,0,31.0,7.8542
397,0,2,1,46.0,26.0
398,0,2,1,23.0,10.5
399,1,2,0,28.0,12.65
400,1,3,1,39.0,7.925
401,0,3,1,26.0,8.05
402,0,3,0,21.0,9.825
403,0,3,1,28.0,15.85
404,0,3,0,20.0,8.6625
405,0,2,1,34.0,21.0
406,0,3,1,51.0,7.75
408,0,3,1,21.0,7.775
412,1,1,0,33.0,90.0
414,1,3,1,44.0,7.925
416,1,2,0,34.0,32.5
417,1,2,0,18.0,13.0
418,0,2,1,30.0,13.0
421,0,3,1,21.0,7.7333
422,0,3,1,29.0,7.875
423,0,3,0,28.0,14.4
424,0,3,1,18.0,20.2125
426,1,2,0,28.0,26.0
427,1,2,0,19.0,26.0
429,1,3,1,32.0,8.05
430,1,1,1,28.0,26.55
432,1,2,0,42.0,26.0
434,0,1,1,50.0,55.9
436,0,3,0,21.0,34.375
437,1,2,0,24.0,18.75
438,0,1,1,64.0,263.0
439,0,2,1,31.0,10.5
440,1,2,0,45.0,26.25
441,0,3,1,20.0,9.5
442,0,3,1,25.0,7.775
443,1,2,0,28.0,13.0
447,1,1,1,34.0,26.55
449,1,1,1,52.0,30.5
450,0,2,1,36.0,27.75
452,0,1,1,30.0,27.75
453,1,1,1,49.0,89.1042
455,1,3,1,29.0,7.8958
456,0,1,1,65.0,26.55
458,1,2,0,50.0,10.5
460,1,1,1,48.0,26.55
461,0,3,1,34.0,8.05
462,0,1,1,47.0,38.5
463,0,2,1,48.0,13.0
465,0,3,1,38.0,7.05
467,0,1,1,56.0,26.55
471,0,3,1,38.0,8.6625
472,1,2,0,33.0,27.75
473,1,2,0,23.0,13.7917
474,0,3,0,22.0,9.8375
476,0,2,1,34.0,21.0
477,0,3,1,29.0,7.0458
478,0,3,1,22.0,7.5208
482,0,3,1,50.0,8.05
483,1,3,0,63.0,9.5875
484,1,1,1,25.0,91.0792
486,1,1,0,35.0,90.0
487,0,1,1,58.0,29.7
488,0,3,1,30.0,8.05
491,0,3,1,21.0,7.25
492,0,1,1,55.0,30.5
493,0,1,1,71.0,49.5042
494,0,3,1,21.0,8.05
496,1,1,0,54.0,78.2667
498,0,1,0,25.0,151.55
499,0,3,1,24.0,7.7958
501,0,3,0,21.0,7.75
503,0,3,0,37.0,9.5875
505,0,1,1,18.0,108.9
506,1,2,0,33.0,26.0
508,0,3,1,28.0,22.525
509,1,3,1,26.0,56.4958
510,1,3,1,29.0,7.75
512,1,1,1,36.0,26.2875
513,1,1,0,54.0,59.4
514,0,3,1,24.0,7.4958
515,0,1,1,47.0,34.0208
516,1,2,0,34.0,10.5
518,1,2,0,36.0,26.0
519,0,3,1,32.0,7.8958
520,1,1,0,30.0,93.5
521,0,3,1,22.0,7.8958
523,1,1,0,44.0,57.9792
525,0,3,1,40.5,7.75
526,1,2,0,50.0,10.5
528,0,3,1,39.0,7.925
529,0,2,1,23.0,11.5
534,0,3,0,30.0,8.6625
536,0,1,1,45.0,26.55
537,1,1,0,30.0,106.425
539,1,1,0,22.0,49.5
540,1,1,0,36.0,71.0
543,1,2,1,32.0,26.0
544,0,1,1,50.0,106.425
545,0,1,1,64.0,26.0
546,1,2,0,19.0,26.0
548,0,3,1,33.0,20.525
551,0,2,1,27.0,26.0
553,1,3,1,22.0,7.225
554,1,3,0,22.0,7.775
555,0,1,1,62.0,26.55
556,1,1,0,48.0,39.6
558,1,1,0,39.0,79.65
559,1,3,0,36.0,17.4
561,0,3,1,40.0,7.8958
562,0,2,1,28.0,13.5
565,0,3,1,24.0,24.15
566,0,3,1,19.0,7.8958
567,0,3,0,29.0,21.075
569,1,3,1,32.0,7.8542
570,1,2,1,62.0,10.5
571,1,1,0,53.0,51.4792
572,1,1,1,36.0,26.3875
575,0,3,1,19.0,14.5
576,1,2,0,34.0,13.0
577,1,1,0,39.0,55.9
579,1,3,1,32.0,7.925
580,1,2,0,25.0,30.0
581,1,1,0,39.0,110.8833
582,0,2,1,54.0,26.0
583,0,1,1,36.0,40.125
585,1,1,0,18.0,79.65
586,0,2,1,47.0,15.0
587,1,1,1,60.0,79.2
588,0,3,1,22.0,8.05
590,0,3,1,35.0,7.125
591,1,1,0,52.0,78.2667
592,0,3,1,47.0,7.25
594,0,2,1,37.0,26.0
595,0,3,1,36.0,24.15
597,0,3,1,49.0,0.0
599,1,1,1,49.0,56.9292
600,1,2,0,24.0,27.0
603,0,3,1,44.0,8.05
604,1,1,1,35.0,26.55
605,0,3,1,36.0,15.55
606,0,3,1,30.0,7.8958
607,1,1,1,27.0,30.5
608,1,2,0,22.0,41.5792
609,1,1,0,40.0,153.4625
610,0,3,0,39.0,31.275
614,0,3,1,35.0,8.05
615,1,2,0,24.0,65.0
616,0,3,1,34.0,14.4
617,0,3,0,26.0,16.1
619,0,2,1,26.0,10.5
620,0,3,1,27.0,14.4542
621,1,1,1,42.0,52.5542
622,1,3,1,20.0,15.7417
623,0,3,1,21.0,7.8542
624,0,3,1,21.0,16.1
625,0,1,1,61.0,32.3208
626,0,2,1,57.0,12.35
627,1,1,0,21.0,77.9583
628,0,3,1,26.0,7.8958
630,1,1,1,80.0,30.0
631,0,3,1,51.0,7.0542
632,1,1,1,32.0,30.5
635,1,2,0,28.0,13.0
636,0,3,1,32.0,7.925
637,0,2,1,31.0,26.25
638,0,3,0,41.0,39.6875
640,0,3,1,20.0,7.8542
641,1,1,0,24.0,69.3
645,1,1,1,48.0,76.7292
646,0,3,1,19.0,7.8958
647,1,1,1,56.0,35.5
649,1,3,0,23.0,7.55
651,1,2,0,18.0,23.0
652,0,3,1,21.0,8.4333
654,0,3,0,18.0,6.75
655,0,2,1,24.0,73.5
657,0,3,0,32.0,15.5
658,0,2,1,23.0,13.0
659,0,1,1,58.0,113.275
660,1,1,1,50.0,133.65
661,0,3,1,40.0,7.225
662,0,1,1,47.0,25.5875
663,0,3,1,36.0,7.4958
664,1,3,1,20.0,7.925
665,0,2,1,32.0,73.5
666,0,2,1,25.0,13.0
668,0,3,1,43.0,8.05
670,1,2,0,40.0,39.0
671,0,1,1,31.0,52.0
672,0,2,1,70.0,10.5
673,1,2,1,31.0,13.0
675,0,3,1,18.0,7.775
676,0,3,1,24.5,8.05
677,1,3,0,18.0,9.8417
678,0,3,0,43.0,46.9
679,1,1,1,36.0,512.3292
681,1,1,1,27.0,76.7292
682,0,3,1,20.0,9.225
684,0,2,1,60.0,39.0
685,0,2,1,25.0,41.5792
687,0,3,1,19.0,10.1708
688,0,3,1,18.0,7.7958
690,1,1,1,31.0,57.0
693,0,3,1,25.0,7.225
694,0,1,1,60.0,26.55
695,0,2,1,52.0,13.5
696,0,3,1,44.0,8.05
698,0,1,1,49.0,110.8833
699,0,3,1,42.0,7.65
700,1,1,0,18.0,227.525
701,1,1,1,35.0,26.2875
702,0,3,0,18.0,14.4542
703,0,3,1,25.0,7.7417
704,0,3,1,26.0,7.8542
705,0,2,1,39.0,26.0
706,1,2,0,45.0,13.5
707,1,1,1,42.0,26.2875
708,1,1,0,22.0,151.55
710,1,1,0,24.0,49.5042
712,1,1,1,48.0,52.0
713,0,3,1,29.0,9.4833
714,0,2,1,52.0,13.0
715,0,3,1,19.0,7.65
716,1,1,0,38.0,227.525
717,1,2,0,27.0,10.5
719,0,3,1,33.0,7.775
722,0,2,1,34.0,13.0
723,0,2,1,50.0,13.0
724,1,1,1,27.0,53.1
725,0,3,1,20.0,8.6625
726,1,2,0,30.0,21.0
728,0,2,1,25.0,26.0
729,0,3,0,25.0,7.925
730,1,1,0,29.0,211.3375
733,0,2,1,23.0,13.0
734,0,2,1,23.0,13.0
735,0,3,1,28.5,16.1
736,0,3,0,48.0,34.375
737,1,1,1,35.0,512.3292
741,0,1,1,36.0,78.85
742,1,1,0,21.0,262.375
743,0,3,1,24.0,16.1
744,1,3,1,31.0,7.925
745,0,1,1,70.0,71.0
747,1,2,0,30.0,13.0
748,0,1,1,19.0,53.1
749,0,3,1,31.0,7.75
752,0,3,1,33.0,9.5
753,0,3,1,23.0,7.8958
754,1,2,0,48.0,65.0
756,0,3,1,28.0,7.7958
757,0,2,1,18.0,11.5
758,0,3,1,34.0,8.05
759,1,1,0,33.0,86.5
761,0,3,1,41.0,7.125
762,1,3,1,20.0,7.2292
763,1,1,0,36.0,120.0
765,1,1,0,51.0,77.9583
767,0,3,0,30.5,7.75
769,0,3,1,32.0,8.3625
770,0,3,1,24.0,9.5
771,0,3,1,48.0,7.8542
772,0,2,0,57.0,10.5
774,1,2,0,54.0,23.0
775,0,3,1,18.0,7.75
779,1,1,0,43.0,211.3375
782,0,1,1,29.0,30.0
784,0,3,1,25.0,7.05
785,0,3,1,25.0,7.25
786,1,3,0,18.0,7.4958
789,0,1,1,46.0,79.2
794,0,3,1,25.0,7.8958
795,0,2,1,39.0,13.0
796,1,1,0,49.0,25.9292
797,1,3,0,31.0,8.6833
798,0,3,1,30.0,7.2292
799,0,3,0,30.0,24.15
800,0,2,1,34.0,13.0
801,1,2,0,31.0,26.25
804,1,3,1,27.0,6.975
805,0,3,1,31.0,7.775
806,0,1,1,39.0,0.0
807,0,3,0,18.0,7.775
808,0,2,1,39.0,13.0
809,1,1,0,33.0,53.1
810,0,3,1,26.0,7.8875
811,0,3,1,39.0,24.15
812,0,2,1,35.0,10.5
814,0,3,1,30.5,8.05
816,0,3,0,23.0,7.925
817,0,2,1,31.0,37.0042
818,0,3,1,43.0,6.45
820,1,1,0,52.0,93.5
821,1,3,1,27.0,8.6625
822,0,1,1,38.0,0.0
823,1,3,0,27.0,12.475
829,1,1,0,62.0,80.0
833,0,3,1,23.0,7.8542
834,0,3,1,18.0,8.3
835,1,1,0,39.0,83.1583
836,0,3,1,21.0,8.6625
838,1,3,1,32.0,56.4958
840,0,3,1,20.0,7.925
842,1,1,0,30.0,31.0
843,0,3,1,34.5,6.4375
845,0,3,1,42.0,7.55
847,0,3,1,35.0,7.8958
848,0,2,1,28.0,33.0
851,0,3,1,74.0,7.775
854,0,2,0,44.0,26.0
855,1,3,0,18.0,9.35
856,1,1,0,45.0,164.8667
857,1,1,1,51.0,26.55
858,1,3,0,24.0,19.2583
860,0,3,1,41.0,14.1083
861,0,2,1,21.0,11.5
862,1,1,0,48.0,25.9292
864,0,2,1,24.0,13.0
865,1,2,0,42.0,13.0
866,1,2,0,27.0,13.8583
867,0,1,1,31.0,50.4958
870,0,3,1,26.0,7.8958
871,1,1,0,47.0,52.5542
872,0,1,1,33.0,5.0
873,0,3,1,47.0,9.0
874,1,2,0,28.0,24.0
876,0,3,1,20.0,9.8458
877,0,3,1,19.0,7.8958
879,1,1,0,56.0,83.1583
880,1,2,0,25.0,26.0
881,0,3,1,33.0,7.8958
882,0,3,0,22.0,10.5167
883,0,2,1,28.0,10.5
884,0,3,1,25.0,7.05
885,0,3,0,39.0,29.125
886,0,2,1,27.0,13.0
887,1,1,0,19.0,30.0
889,1,1,1,26.0,30.0
890,0,3,1,32.0,7.75
